"","A1","Z1","Y2","L1","A0","Z0","L0"
"349",0,1,7872,0.630080694611304,0,1,1
"350",1,1,26037,-1.52409977806294,0,0,0
"351",0,0,10350,0.599336628080891,0,1,1
"352",0,0,6150,0.460778602579723,0,1,0
"353",1,1,960,-1.52409977806294,1,1,0
"354",0,0,24333,0.460778602579723,0,1,1
"355",1,1,10652,0.726847817268774,0,1,1
"356",1,1,21175,-0.205220118389265,1,1,0
"357",0,0,11117,0.576717554763112,0,1,0
"358",0,1,3345,0.914923572565032,0,1,1
"359",0,1,61813,1.28250163284865,0,1,1
"360",1,1,21572,0.502741882108758,1,1,0
"361",1,1,3732,0.327636982564264,0,1,1
"362",0,1,60,-0.0848629536107846,1,0,1
"363",0,0,27660,0.915059214147766,1,1,0
"364",1,1,45400,0.719978685914774,1,1,0
"365",0,0,26314,0.229020688205958,1,1,0
"366",0,1,3330,0.721366492012549,1,1,0
"367",0,0,34531,0.690619104557388,1,1,1
"368",1,1,15218,1.11741691434998,1,1,1
"369",0,1,22662,0.600203327072239,1,1,0
"370",0,1,7501,0.870944060842476,1,1,1
"371",0,0,7838,-1.52409977806294,0,1,0
"372",0,1,0,0.538805966010795,0,1,1
"373",0,0,18101,0.975474577058332,1,0,1
"374",1,1,1839,-1.52409977806294,1,1,0
"375",1,1,567,-1.52409977806294,0,1,0
"376",0,1,21569,0.808274083446812,0,1,0
"377",0,1,62019,1.08550263582028,1,1,0
"378",1,1,12597,0.758804816873193,1,1,0
"379",1,1,39383,0.858581213504869,1,0,0
"380",0,0,1779,0.350831884717768,1,0,1
"381",0,0,23466,0.588262676782656,1,0,0
"382",1,1,22411,0.978845526284395,1,1,0
"383",1,1,24049,-1.52409977806294,1,1,1
"384",0,0,8315,0.85010107063032,1,1,1
"385",0,0,18615,-0.0958851747417371,1,0,1
"386",1,1,25669,0.580232952246741,1,0,1
"387",0,0,29961,1.00133785291652,1,1,1
"388",0,0,1971,1.0249493702102,1,0,1
"389",1,1,981,0.188809685186082,0,0,0
"390",1,1,47142,1.0249493702102,1,1,1
"391",1,1,63075,0.942323653122436,1,1,1
"392",1,1,0,-1.52409977806294,0,1,0
"393",0,0,0,-1.52409977806294,1,0,1
"394",0,0,1074,-1.52409977806294,0,1,0
"395",0,1,5376,0.786576824364191,1,1,0
"396",1,1,10185,-1.52409977806294,1,1,0
"397",1,1,60033,1.01340031708472,1,1,1
"398",0,1,17863,0.726847817268774,0,0,0
"399",1,1,150,-1.52409977806294,1,1,0
"400",1,1,28314,0.524892878948738,0,1,0
"401",0,0,15850,0.212382210845837,1,0,1
"402",0,1,7512,0.648797858205049,1,1,1
"403",1,1,17976,-1.52409977806294,1,0,0
"404",1,1,32178,1.0249493702102,0,0,0
"405",1,1,23437,0.599336628080891,0,1,0
"406",1,1,17413,0.510227782937839,1,1,0
"407",0,0,5916,0.42446270219961,1,1,0
"408",1,1,36010,-1.52409977806294,0,1,1
"409",1,1,56520,0.878690015641386,1,1,1
"410",1,1,5850,0.162993191115368,1,1,0
"411",0,1,39102,0.609976363530355,1,1,0
"412",1,1,20358,0.350017322152236,0,1,1
