recid	D2	Z2	earnings	prevearn	edu	n_hs2	n_hs2_abv	sex
301366	0	0	864	0	16	13	0	1
301367	0	0	21267	6000	8	1	0	1
301371	0	1	18758	7000	12	13	0	1
301373	0	0	11198	4244	12	13	0	0
301374	0	1	7579	3000	12	17	0	1
301376	0	1	22761	1680	8	19	0	0
301378	1	1	0	0	11	17	0	0
301379	1	1	10099	3500	11	1	0	1
301380	0	1	35529	0	12	13	0	1
301381	0	1	25077	0	10	19	0	1
301386	0	0	31690	4500	9	19	0	0
301387	0	0	28974	0	9	9	0	0
301388	0	0	1525	360	8	9	0	0
301390	1	1	35382	5600	9	1	0	0
301391	1	1	813	4100	10	1	0	1
301396	1	1	2061	50	12	13	0	1
301398	0	0	0	8000	12	13	0	1
301399	1	1	28860	8007	12	1	0	0
301402	1	1	50766	6000	12	1	0	1
301406	0	1	35373	6000	12	1	0	0
301407	1	1	29377	11117	9	9	0	0
301408	1	1	0	0	11	17	0	0
301410	1	1	565	10080	13	17	0	1
301411	1	1	21623	1500	9	37	1	1
301412	0	0	15181	14000	9	13	0	1
301414	1	1	68468	13000	11	40	1	1
301421	0	1	20474	7000	12	13	0	0
301422	1	1	9472	0	15	37	1	1
301424	0	0	0	100	12	15	0	1
301425	0	0	18587	2000	12	19	0	0
301426	0	1	91697	0	14	19	0	0
301427	0	0	12197	0	8	13	0	1
301428	1	1	23144	42	12	39	1	0
301431	0	1	0	14	12	17	0	1
301433	1	1	54168	1300	15	13	0	0
301434	0	0	0	0	12	19	0	0
301435	1	1	3626	166	11	1	0	0
301436	1	1	23991	5520	12	19	0	0
301437	1	0	9535	400	12	13	0	0
301439	0	0	10257	3056	12	17	0	0
301440	1	1	5976	0	10	1	0	0
301442	1	1	17914	0	12	2	0	0
301443	1	1	1057	0	9	1	0	0
301444	0	0	2349	5500	14	16	0	1
301446	0	0	12897	1800	12	1	0	1
301447	0	1	231	1995	11	19	0	0
301452	1	1	7155	0	12	19	0	1
301454	0	1	1347	0	14	13	0	0
301458	1	1	38670	15000	12	0	0	1
301465	0	1	0	4320	8	16	0	0
301467	1	1	20323	1300	16	17	0	1
301469	0	0	14572	3500	12	28	0	0
301471	1	1	15357	4226	12	39	1	0
301474	0	0	42282	11000	10	13	0	1
